epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,658.124,1.02978,0.66917,1.12239,0.68622,0.79083,0.79494,0.52355,1.18456,0.98916,1.16761,0.000173416,0.000173416,0.000173416
78,666.925,1.01376,0.67067,1.11055,0.86511,0.88953,0.93198,0.57197,1.32713,0.68136,1.17912,0.00017204,0.00017204,0.00017204
79,674.853,1.00759,0.64457,1.10708,0.76263,0.7745,0.82602,0.54301,1.18373,0.91784,1.14769,0.000170664,0.000170664,0.000170664
80,683.473,0.99976,0.63297,1.10024,0.68449,0.79679,0.80834,0.51708,1.24764,0.97584,1.16136,0.000169288,0.000169288,0.000169288
81,692.29,0.98791,0.61226,1.10049,0.6951,0.7333,0.7816,0.52546,1.17318,0.96741,1.13912,0.000167912,0.000167912,0.000167912
82,700.388,0.97421,0.60585,1.09174,0.83575,0.8016,0.89704,0.59541,1.17464,0.76066,1.14244,0.000166536,0.000166536,0.000166536
83,709.229,1.00608,0.62455,1.10296,0.71739,0.78988,0.81233,0.53477,1.17403,0.97434,1.15446,0.00016516,0.00016516,0.00016516
84,718.078,0.99007,0.62287,1.09668,0.81276,0.83076,0.88496,0.58873,1.17489,0.78396,1.15458,0.000163784,0.000163784,0.000163784
85,726.174,0.97285,0.60118,1.09184,0.79661,0.80018,0.8551,0.55021,1.24023,0.88264,1.17073,0.000162408,0.000162408,0.000162408
86,735.025,0.98292,0.61243,1.09671,0.7863,0.79539,0.86515,0.56707,1.20655,0.87512,1.16264,0.000161031,0.000161031,0.000161031
87,743.806,0.98439,0.60929,1.09625,0.74711,0.81996,0.85464,0.57597,1.15316,0.85873,1.14451,0.000159655,0.000159655,0.000159655
88,751.874,0.98296,0.5854,1.08925,0.84087,0.83377,0.90981,0.60811,1.15115,0.75374,1.14237,0.000158279,0.000158279,0.000158279
89,760.797,0.98566,0.59688,1.08569,0.76464,0.75034,0.81456,0.526,1.24423,1.09177,1.16431,0.000156903,0.000156903,0.000156903
90,769.493,0.94216,0.57776,1.07137,0.80961,0.85981,0.90213,0.58326,1.2261,0.75511,1.15621,0.000155527,0.000155527,0.000155527
91,777.616,0.98305,0.59248,1.08815,0.80116,0.79317,0.87447,0.5519,1.29486,0.8228,1.17439,0.000154151,0.000154151,0.000154151
92,786.248,0.96953,0.59587,1.08689,0.82454,0.79568,0.87752,0.55614,1.27427,0.81306,1.16528,0.000152775,0.000152775,0.000152775
